OTU ID	WRNA01_1	WRNA05_1	WRNA06_1	WRNA10_1	WRNA11_1	WRNA12_1	WRNA13_1	WRNA14_1	WRNA15_1	WRNA16_1
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae	1.36E-03	4.21E-04	1.66E-05	0.000302247	0.000600015	2.44E-04	0.002220208	0.001745027	0.000189369	0.000582277
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;Other;Other	1.01E-05	0.00E+00	0.00E+00	0	0	0	0	0	0	0
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__0319-6G20;f__0319-6G20	3.77E-05	2.41E-05	0.00E+00	3.57E-05	1.08E-05	1.39E-05	6.00E-05	0	9.88E-06	0
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;Other	5.52E-06	2.17E-05	8.29E-06	0	8.39E-05	2.22E-05	0	0	0	0
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__uncultured	9.38E-05	0	2.21E-05	0.000256169	2.92E-04	4.13E-04	0.000496806	9.34E-05	2.80E-05	1.91E-05
d__Bacteria;p__Calditrichota;c__Calditrichia;o__Calditrichales;f__Calditrichaceae	2.39E-05	0.00E+00	0	0	0.00E+00	0	3.43E-06	0	0	0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;Other	3.31E-05	0.00E+00	0	4.94E-05	0.00E+00	7.48E-05	0	0	0	1.22E-05
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae	6.92E-04	1.95E-04	0.000290197	0.000521664	3.42E-04	0.000559845	0.000868554	0	0.000520354	0.000577062
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae	0.00E+00	0.00E+00	0.00E+00	6.03E-06	0.00E+00	0	0	0	0	0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae	1.31E-04	0	4.42E-05	0.000256718	0.00E+00	1.94E-05	1.88E-05	0.000305863	1.81E-05	7.13E-05
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae	5.70E-05	1.03E-04	0.00E+00	0	0.00E+00	0.000116403	0	0	0	8.69E-06
d__Bacteria;p__Chloroflexi;Other;Other;Other	5.89E-04	0.001658215	1.38E-03	0.001529335	0.000408613	0.00221998	0.000606446	0.000969101	0.000113622	4.17E-05
d__Bacteria;p__Chloroflexi;c__Anaerolineae;Other;Other	1.93E-05	6.26E-05	0	0.00E+00	2.58E-05	0	8.91E-05	0	0	8.69E-06
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae	0.00E+00	1.44E-05	0.00E+00	0	0	4.43E-05	1.03E-05	0	1.32E-05	3.48E-06
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenticatenales;f__uncultured	0.000802444	0.000584828	0.000771095	1.72E-04	0.000150542	0.000565388	0	0	1.65E-05	0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae	0	0	0.00E+00	0	0.00E+00	0	1.03E-05	0	0	0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;Other	0.00E+00	0	5.53E-06	0	0	0	0	0	0	0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__A4b	0.000109382	0	0	7.79E-05	8.60E-06	2.27E-04	0	1.77E-05	0	8.69E-06
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;Other;Other	7.11E-04	0.000878445	6.27E-04	0.00129072	0.000316137	1.07E-03	0.000435133	0.000170639	0.00027335	3.30E-05
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__S085;f__S085	0	0	0.00E+00	1.59E-05	0.00E+00	0.00E+00	0	0	0	0
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__SAR202_clade;f__SAR202_clade	0.024429029	0.035912752	3.05E-02	0.026239513	0.020976885	3.06E-02	0.020034982	0.01667756	0.010189715	0.012093971
