KO	MIS1	MIS2	MIS3	MIS4	MIS5	MIS6	ISMF	ISMU	NIS1	NIS2
K07712	1.377016386	3.274599946	1.97376507	0.685658619	1.129887118	1.559198016	1.812626364	-3	1.106976729	0.253634736
K07678	-3	-3	-3	0.259185915	-3	-3	-3	1.259540985	1.61129642	0.756418937
K10942	-3	-3	-3	-3	-3	-3	-3	-3	1.536137762	1.596446353
K01467	-3	-3	-3	0.981442908	1.247869335	-3	-3	1.19700503	1.562940666	-3
K13041	-3	-3	-3	-3	-3	-3	-3	-3	1.65798056	1.391750321
K14987	-3	-3	-3	0.458669968	-3	-3	-3	-3	1.65798056	1.391750321
K13584	-3	-3	-3	-3	-3	-3	-3	-3	1.747513928	1.166601388
K07637	-3	-3	-3	-3	-3	-3	-3	-3	1.714339258	1.19044444
K07636	-3	-3	-3	-3	-3	-3	-3	-3	1.672196735	1.195371622
K07260	-3	-3	-3	0.344771808	-3	-3	-3	-3	1.789263181	-3
K14980	0.899625737	-3	-3	0.883778964	-3	0.551622617	1.234969197	-3	1.654273235	-3
K07713	-3	-3	-3	0.685658619	-3	-3	-3	-3	1.573614544	1.254324347
K07639	-3	-3	-3	-3	-3	-3	-3	-3	1.330490407	1.475983115
K06598	-3	-3	-3	-3	-3	-3	-3	-3	1.404548848	1.331688382
K11354	-3	-3	-3	-3	-3	-3	-3	-3	0.480225355	1.602846834
K06281	-3	-3	-3	-3	-3	-3	-3	-3	0.335157018	1.584323228
K02106	-3	-3	-3	-0.017460273	1.62875608	1.081265475	1.174111327	-3	0.492183767	-3
K08641	-3	-3	-3	0.397096751	1.770348253	-3	-3	-3	-3	0.953773073
K02667	-3	-3	-3	0.403421198	-3	-3	-3	-3	1.206339105	1.314095683
K00246	-3	-3	-3	1.15068022	-3	1.772677726	1.388419273	-3	-3	-3
K08082	-3	-3	-3	-3	-3	-3	-3	-3	1.131562718	1.343922077
K07642	1.830016916	-3	-3	1.558901523	-3	1.535806474	1.0977063	0.733724448	0.385853807	-3
K06282	-3	-3	-3	-3	-3	-3	-3	-3	1.512189719	-3
K07715	-3	-3	-3	-3	-3	-3	-3	-3	1.50242591	-3
K07708	-3	-3	1.470966317	0.523190034	1.559948245	-3	-3	-3	0.87391017	0.376403387
K07663	-3	-3	-3	1.186005814	-3	1.330896899	1.423746179	-3	-3	-3
K01425	-3	-3	-3	0.866983037	-3	-3	-3	-3	1.343382085	0.747697245
