WRNA07,WRNA08,WRNA09,WRNA10,WRNA11,WRNA12,WRNA13,WRNA14,WRNA15,WRNA16
0,0,0,3.571506842,0,0,95.15158788,16.03123125,98.34401882,177.9715486
0,0,0,0,0,0,0,0,189.1270656,167.578487
0,0,0,2.584942895,0,0,0,6.47085625,190.5029082,148.265505
0,28.87083333,201.4128611,175.608639,0,16.20444722,93.66173545,0,238.8301153,37.594544
0,0,0,0,0,0,0,0,321.7794459,22.3718357
0,0,0,20.81326184,0,0,0,0,323.2355588,0
0,0,0,0,24.05978611,0,0,0,70.40462588,186.2865504
70.75870323,0,0,83.20137763,0,9.341221944,13.63443485,0,203.3280794,60.2975158
0,0,185.4819167,37.94912605,14.60396833,0,306.0026182,0,47.60697318,15.29835
97.9854,0,0,104.9712087,0,197.8351972,244.9945818,0,0,0
0,0,0,14.33926184,19.90662139,0,0,0,11.34637776,210.4578697
115.6459935,0,0,486.1226711,45.89443333,165.3012361,214.2476758,0,0,0
0,0,0,0,0,0,0,0,124.8192741,106.428725
0,0,0,8.581770789,31.10986833,0,0,0,154.2036753,63.9990186
0,0,424.3622167,19.15621658,75.57766111,57.12751944,0,0,171.7779902,14.015931
0,0,0,6.968496316,0,0,0,0,104.5881107,87.864242
0,0,0,0,0,0,0,0,133.9007953,59.414963
0,0,0,26.47300737,29.08096111,177.3960111,0,0,16.71266,56.678759
123.1510355,0,0,3.529736053,36.54982778,0,136.8518152,0,47.08966659,19.2497838
0,0,0,0,0,0,157.8973758,0,48.13365765,0
0,0,0,10.62648658,0,8.901034444,220.4567879,0,0,0
0,26.23166944,0,20.35629808,4.501091389,20.03960611,203.9584152,0,0,0
0,0,0,10.10184026,0,0,26.19652424,0,24.66300153,88.575485
0,0,0,8.549330632,62.4655625,0,0,0,54.71543412,49.316043
45.43676129,0,104.0250311,2.025451474,90.39287778,0,0,0,30.63398329,47.6182767
0,0,0,2.647300789,29.46528611,0,143.9646485,0,2.981772941,15.1273229
0,0,0,342.6761963,0,145.6399528,77.29593333,0,0,0
0,0,0,0,0,0,0,0,110.8744575,12.0699576
0,0,0,0,0,0,0,0,97.51410706,21.825645
0,0,0,50.36560408,0,13.95241972,64.94597667,0,70.74229294,0
0,20.85822028,0,2.658962632,0,0,0,13.31227656,65.31130118,22.591454
0,0,0,0,0,0,0,0,15.50819871,82.2562374
0,0,0,3.105924737,0,0,0,0,97.47797674,10.2443334
0,0,0,26.51008842,132.5355722,59.89568972,0,0,0,0
0,0,34.34131889,27.76348895,0,0,98.29987364,0,26.18743059,12.6721343
0,0,0,5.029869474,28.58385833,34.19771444,91.30580788,0,0,0
